"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","query_1","query_2","query_5"
"hly","","Alpha-toxin","2","2","1","1","14","1","1","","959","959","959","1_1","05a85fcc1cbac7027ac3689992006154_1",""
"group_10","","hypothetical protein","2","2","1","1","6","1","11","","227","227","227","abc_00010","05a85fcc1cbac7027ac3689992006154_10",""
"group_11","","C4-dicarboxylate transporter/malic acid transport protein","2","2","1","1","5","1","10","","947","947","947","abc_00011","05a85fcc1cbac7027ac3689992006154_11",""
"group_12","","hypothetical protein","2","2","1","1","4","1","9","","188","188","188","abc_00012","05a85fcc1cbac7027ac3689992006154_12",""
"group_13","","Gonococcal growth inhibitor III","2","2","1","1","3","1","8","","134","134","134","abc_00014","05a85fcc1cbac7027ac3689992006154_14",""
"group_14","","Gonococcal growth inhibitor III","2","2","1","1","2","1","7","","134","134","134","1_6","05a85fcc1cbac7027ac3689992006154_15",""
"yfnB","","Putative HAD-hydrolase yfnB","2","2","1","1","1","1","6","","686","686","686","abc_00016","05a85fcc1cbac7027ac3689992006154_16",""
"group_2","","hypothetical protein","2","2","1","1","15","1","2","","146","146","146","abc_00002","05a85fcc1cbac7027ac3689992006154_2",""
"group_3","","hypothetical protein","2","2","1","1","13","1","3","","197","197","197","abc_00003","05a85fcc1cbac7027ac3689992006154_3",""
"group_4","","superantigen-like protein","2","2","1","1","12","1","4","","716","716","716","abc_00004","05a85fcc1cbac7027ac3689992006154_4",""
"speH","","hypothetical protein","2","2","1","1","11","1","5","","725","725","725","1_2","05a85fcc1cbac7027ac3689992006154_5",""
"group_6","","superantigen-like protein","2","2","1","1","10","1","15","","725","725","725","abc_00006","05a85fcc1cbac7027ac3689992006154_6",""
"argF","","Ornithine carbamoyltransferase","2","2","1","1","9","1","14","","1001","1001","1001","1_3","05a85fcc1cbac7027ac3689992006154_7",""
"arcC1","","Carbamate kinase 1","2","2","1","1","8","1","13","","935","935","935","abc_00008","05a85fcc1cbac7027ac3689992006154_8",""
"group_16","","hypothetical protein","1","1","1","2","6","2","3","","146","146","146","","","abc_50002"
"group_17","argF","Ornithine carbamoyltransferase","1","1","1","2","5","2","4","","1001","1001","1001","","","3_3"
"group_18","","hypothetical protein","1","1","1","2","4","2","5","","227","227","227","","","abc_50010"
"group_19","","hypothetical protein","1","1","1","2","3","2","6","","188","188","188","","","abc_50012"
"group_20","","Gonococcal growth inhibitor III","1","1","1","2","2","2","2","","134","134","134","","","abc_50014"
"group_21","yfnB","Putative HAD-hydrolase yfnB","1","1","1","2","1","2","1","","686","686","686","","","3_5"
