Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,"Min group size nuc","Max group size nuc","Avg group size nuc",sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20,sample21,sample22,sample23,sample24,sample25,sample26,sample27,sample28,sample29,sample30
bcsC_1,,cellulose synthase subunit BcsC,9,9,1,11,5692,,,,,,,sample1_001,sample2_001,sample3_001,sample4_001,sample5_001,sample6_001,sample7_001,sample8_001,sample9_001,sample10_001,sample11_001,sample12_001,sample13_001,sample14_001,sample15_001,sample16_001,sample17_001,sample18_001,sample19_001,sample20_001,sample21_001,sample22_001,sample23_001,sample24_001,sample25_001,sample26_001,sample27_001,sample28_001,sample29_001,sample30_001
betC_2,,sulfatase,9,9,1,11,1876,,,,,,,,sample2_002,sample3_002,sample4_002,sample5_002,sample6_002,sample7_002,sample8_002,sample9_002,sample10_002,sample11_002,sample12_002,sample13_002,sample14_002,sample15_002,sample16_002,sample17_002,sample18_002,sample19_002,sample20_002,sample21_002,sample22_002,sample23_002,sample24_002,sample25_002,sample26_002,sample27_002,sample28_002,sample29_002,sample30_002
comM_2,,putative ATP-dependent protease,9,9,1,11,6422,,,,,,,,,sample3_003,sample4_003,sample5_003,sample6_003,sample7_003,sample8_003,sample9_003,sample10_003,sample11_003,sample12_003,sample13_003,sample14_003,sample15_003,sample16_003,sample17_003,sample18_003,sample19_003,sample20_003,sample21_003,sample22_003,sample23_003,sample24_003,sample25_003,sample26_003,sample27_003,sample28_003,sample29_003,sample30_003
dmsA4_1,,anaerobic dimethyl sulfoxide reductase subunit A,9,9,1,11,540,,,,,,,,,,sample4_004,sample5_004,sample6_004,sample7_004,sample8_004,sample9_004,sample10_004,sample11_004,sample12_004,sample13_004,sample14_004,sample15_004,sample16_004,sample17_004,sample18_004,sample19_004,sample20_004,sample21_004,sample22_004,sample23_004,sample24_004,sample25_004,sample26_004,sample27_004,sample28_004,sample29_004,sample30_004
dosC,,diguanylate cylase,9,9,1,11,909,,,,,,,,,,,sample5_005,sample6_005,sample7_005,sample8_005,sample9_005,sample10_005,sample11_005,sample12_005,sample13_005,sample14_005,sample15_005,sample16_005,sample17_005,sample18_005,sample19_005,sample20_005,sample21_005,sample22_005,sample23_005,sample24_005,sample25_005,sample26_005,sample27_005,sample28_005,sample29_005,sample30_005
dsbA_3,,Thiol:disulfide interchange protein,9,9,1,11,1676,,,,,,,,,,,,sample6_006,sample7_006,sample8_006,sample9_006,sample10_006,sample11_006,sample12_006,sample13_006,sample14_006,sample15_006,sample16_006,sample17_006,sample18_006,sample19_006,sample20_006,sample21_006,sample22_006,sample23_006,sample24_006,sample25_006,sample26_006,sample27_006,sample28_006,sample29_006,sample30_006
fadH_1,,2 4-dienoyl-CoA reductase,9,9,1,11,5287,,,,,,,,,,,,,sample7_007,sample8_007,sample9_007,sample10_007,sample11_007,sample12_007,sample13_007,sample14_007,sample15_007,sample16_007,sample17_007,sample18_007,sample19_007,sample20_007,sample21_007,sample22_007,sample23_007,sample24_007,sample25_007,sample26_007,sample27_007,sample28_007,sample29_007,sample30_007
fimD_3,,outer membrane usher protein FimD,9,9,1,11,1813,,,,,,,,,,,,,,sample8_008,sample9_008,sample10_008,sample11_008,sample12_008,sample13_008,sample14_008,sample15_008,sample16_008,sample17_008,sample18_008,sample19_008,sample20_008,sample21_008,sample22_008,sample23_008,sample24_008,sample25_008,sample26_008,sample27_008,sample28_008,sample29_008,sample30_008
fliB_2,,lysine-N-methylase,9,9,1,11,1159,,,,,,,,,,,,,,,sample9_009,sample10_009,sample11_009,sample12_009,sample13_009,sample14_009,sample15_009,sample16_009,sample17_009,sample18_009,sample19_009,sample20_009,sample21_009,sample22_009,sample23_009,sample24_009,sample25_009,sample26_009,sample27_009,sample28_009,sample29_009,sample30_009
fliF,,flagellar MS-ring protein,9,9,1,11,1176,,,,,,,,,,,,,,,,sample10_010,sample11_010,sample12_010,sample13_010,sample14_010,sample15_010,sample16_010,sample17_010,sample18_010,sample19_010,sample20_010,sample21_010,sample22_010,sample23_010,sample24_010,sample25_010,sample26_010,sample27_010,sample28_010,sample29_010,sample30_010
ftsN,,cell division protein FtsN,9,9,1,11,6144,,,,,,,,,,,,,,,,,sample11_011,sample12_011,sample13_011,sample14_011,sample15_011,sample16_011,sample17_011,sample18_011,sample19_011,sample20_011,sample21_011,sample22_011,sample23_011,sample24_011,sample25_011,sample26_011,sample27_011,sample28_011,sample29_011,sample30_011
gatY_1,,fructose-bisphosphate aldolase,9,9,1,11,5872,,,,,,,,,,,,,,,,,,sample12_012,sample13_012,sample14_012,sample15_012,sample16_012,sample17_012,sample18_012,sample19_012,sample20_012,sample21_012,sample22_012,sample23_012,sample24_012,sample25_012,sample26_012,sample27_012,sample28_012,sample29_012,sample30_012
glfT2,,glycosyltransferase cell wall biogenesis,9,9,1,11,4176,,,,,,,,,,,,,,,,,,,sample13_013,sample14_013,sample15_013,sample16_013,sample17_013,sample18_013,sample19_013,sample20_013,sample21_013,sample22_013,sample23_013,sample24_013,sample25_013,sample26_013,sample27_013,sample28_013,sample29_013,sample30_013
group_1000,,membrane protein,9,9,1,11,593,,,,,,,,,,,,,,,,,,,,sample14_014,sample15_014,sample16_014,sample17_014,sample18_014,sample19_014,sample20_014,sample21_014,sample22_014,sample23_014,sample24_014,sample25_014,sample26_014,sample27_014,sample28_014,sample29_014,sample30_014
group_1001,,lipoprotein,9,9,1,11,597,,,,,,,,,,,,,,,,,,,,,sample15_015,sample16_015,sample17_015,sample18_015,sample19_015,sample20_015,sample21_015,sample22_015,sample23_015,sample24_015,sample25_015,sample26_015,sample27_015,sample28_015,sample29_015,sample30_015
group_1004,,arylsulfate sulfotransferase,9,9,1,11,2834,,,,,,,,,,,,,,,,,,,,,,sample16_016,sample17_016,sample18_016,sample19_016,sample20_016,sample21_016,sample22_016,sample23_016,sample24_016,sample25_016,sample26_016,sample27_016,sample28_016,sample29_016,sample30_016
group_1006,,putative inner membrane protein,9,9,1,11,2791,,,,,,,,,,,,,,,,,,,,,,,sample17_017,sample18_017,sample19_017,sample20_017,sample21_017,sample22_017,sample23_017,sample24_017,sample25_017,sample26_017,sample27_017,sample28_017,sample29_017,sample30_017
group_1009,,Phage-like protein,9,9,1,11,6416,,,,,,,,,,,,,,,,,,,,,,,,sample18_018,sample19_018,sample20_018,sample21_018,sample22_018,sample23_018,sample24_018,sample25_018,sample26_018,sample27_018,sample28_018,sample29_018,sample30_018
group_220,,putative glycosyl transferase,9,9,1,11,4174,,,,,,,,,,,,,,,,,,,,,,,,,sample19_019,sample20_019,sample21_019,sample22_019,sample23_019,sample24_019,sample25_019,sample26_019,sample27_019,sample28_019,sample29_019,sample30_019
group_277,,arylsulfate sulfotransferase,9,9,1,11,6149,,,,,,,,,,,,,,,,,,,,,,,,,,sample20_020,sample21_020,sample22_020,sample23_020,sample24_020,sample25_020,sample26_020,sample27_020,sample28_020,sample29_020,sample30_020
group_281,,transport system periplasmic binding protein,9,9,1,11,6046,,,,,,,,,,,,,,,,,,,,,,,,,,,sample21_021,sample22_021,sample23_021,sample24_021,sample25_021,sample26_021,sample27_021,sample28_021,sample29_021,sample30_021
group_283,,periplasmic protein,9,9,1,11,6091,,,,,,,,,,,,,,,,,,,,,,,,,,,,sample22_022,sample23_022,sample24_022,sample25_022,sample26_022,sample27_022,sample28_022,sample29_022,sample30_022
group_284,hemN_2,coproporphyrinogen III oxidase,9,9,1,11,6093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sample23_023,sample24_023,sample25_023,sample26_023,sample27_023,sample28_023,sample29_023,sample30_023
group_288,,permease,9,9,1,11,5969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sample24_024,sample25_024,sample26_024,sample27_024,sample28_024,sample29_024,sample30_024
hemD,,uroporphyrinogen III synthase,9,9,1,11,2788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sample25_025,sample26_025,sample27_025,sample28_025,sample29_025,sample30_025
hsrA_2,,Inner membrane transport protein YieO,9,9,1,11,5993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sample26_026,sample27_026,sample28_026,sample29_026,sample30_026
icsA,,autotransporter MisL,9,9,1,11,5845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sample27_027,sample28_027,sample29_027,sample30_027
kdpD,,sensor protein KdpD,9,9,1,11,4196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sample28_028,sample29_028,sample30_028
ligB_1,,NAD-dependent DNA ligase LigB,9,9,1,11,5819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sample29_029,sample30_029
marT_1,,putative transcriptional regulator MarT,9,9,1,11,5849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sample30_030
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
