"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","oneblock","oneblockrev","contigwithgaps","nocontigs","threeblocks","threeblocksinversion"
"bcsC_1","","cellulose synthase subunit BcsC","9","9","1","11","5692","","","",,,,"oneblock_0031","oneblockrev_0020","contigwithgaps_0121","nocontigs_0331","threeblocks_0131","threeblocksinversion_0031"
"betC_2","","sulfatase","9","9","1","11","1876","","","",,,,"oneblock_0012","oneblockrev_0039","contigwithgaps_0045","nocontigs_0122","threeblocks_0112","threeblocksinversion_0029"
"comM_2","","putative ATP-dependent protease","9","9","1","11","6422","","","",,,,"oneblock_0050","oneblockrev_0001","contigwithgaps_0197","nocontigs_0540","threeblocks_0250","threeblocksinversion_0050"
"dmsA4_1","","anaerobic dimethyl sulfoxide reductase subunit A","9","9","1","11","540","","","",,,,"oneblock_0001","oneblockrev_0050","contigwithgaps_0001","nocontigs_0001","threeblocks_0001","threeblocksinversion_0001"
"dosC","","diguanylate cylase","9","9","1","11","909","","","",,,,"oneblock_0005","oneblockrev_0046","contigwithgaps_0017","nocontigs_0045","threeblocks_0005","threeblocksinversion_0005"
"dsbA_3","","Thiol:disulfide interchange protein","9","9","1","11","1676","","","",,,,"oneblock_0009","oneblockrev_0042","contigwithgaps_0033","nocontigs_0089","threeblocks_0009","threeblocksinversion_0009"
"fadH_1","","2 4-dienoyl-CoA reductase","9","9","1","11","5287","","","",,,,"oneblock_0029","oneblockrev_0022","contigwithgaps_0113","nocontigs_0309","threeblocks_0129","threeblocksinversion_0012"
"fimD_3","","outer membrane usher protein FimD","9","9","1","11","1813","","","",,,,"oneblock_0011","oneblockrev_0040","contigwithgaps_0041","nocontigs_0111","threeblocks_0111","threeblocksinversion_0030"
"fliB_2","","lysine-N-methylase","9","9","1","11","1159","","","",,,,"oneblock_0007","oneblockrev_0044","contigwithgaps_0025","nocontigs_0067","threeblocks_0007","threeblocksinversion_0007"
"fliF","","flagellar MS-ring protein","9","9","1","11","1176","","","",,,,"oneblock_0008","oneblockrev_0043","contigwithgaps_0029","nocontigs_0078","threeblocks_0008","threeblocksinversion_0008"
"ftsN","","cell division protein FtsN","9","9","1","11","6144","","","",,,,"oneblock_0047","oneblockrev_0004","contigwithgaps_0185","nocontigs_0507","threeblocks_0247","threeblocksinversion_0047"
"gatY_1","","fructose-bisphosphate aldolase","9","9","1","11","5872","","","",,,,"oneblock_0039","oneblockrev_0012","contigwithgaps_0153","nocontigs_0419","threeblocks_0239","threeblocksinversion_0039"
"glfT2","","glycosyltransferase cell wall biogenesis","9","9","1","11","4176","","","",,,,"oneblock_0022","oneblockrev_0029","contigwithgaps_0085","nocontigs_0232","threeblocks_0122","threeblocksinversion_0019"
"group_1000","","membrane protein","9","9","1","11","593","","","",,,,"oneblock_0002","oneblockrev_0049","contigwithgaps_0005","nocontigs_0012","threeblocks_0002","threeblocksinversion_0002"
"group_1001","","lipoprotein","9","9","1","11","597","","","",,,,"oneblock_0003","oneblockrev_0048","contigwithgaps_0009","nocontigs_0023","threeblocks_0003","threeblocksinversion_0003"
