"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","genbank1","genbank2","genbank3"
"group_10","","side tail fiber protein","2","2","1","2","3","2","2","","791","791","791","","ERS325340_00003.p01","ERS325326_00003.p01"
"group_11","","secreted effector protein","2","2","1","2","1","2","1","","2366","2366","2366","","ERS325340_00004.p01","ERS325326_00004.p01"
"group_9","","transcriptional regulator NarP","2","2","1","2","2","2","3","","647","647","647","","ERS325340_00001.p01","ERS325326_00001.p01"
"group_1","","2-dehydro-3-deoxyphosphooctonate aldolase","1","1","1","1","1","1","1","","854","854","854","ERS325254_00002.p01","",""
"group_2","","regulator","1","1","1","1","2","1","8","","809","809","809","ERS325254_00003.p01","",""
"group_3","","regulator","1","1","1","1","8","1","7","","389","389","389","ERS325254_00004.p01","",""
"group_4","","N5-glutamine S-adenosyl-L-methionine-dependent methyltransferase","1","1","1","1","7","1","6","","833","833","833","ERS325254_00005.p01","",""
"group_5","","peptide chain release factor 1 (RF-1)","1","1","1","1","6","1","5","","1082","1082","1082","ERS325254_00006.p01","",""
"group_6","","glutamyl-tRNA reductase","1","1","1","1","5","1","4","","1256","1256","1256","ERS325254_00007.p01","",""
"group_7","","outer membrane lipoprotein","1","1","1","1","4","1","3","","623","623","623","ERS325254_00008.p01","",""
"group_8","","isopentenyl monophosphate kinase","1","1","1","1","3","1","2","","851","851","851","ERS325254_00009.p01","",""
